Edat;Homes;Dones;Total
De 0 a 4 anys;177639;168224;345863
De 5 a 9 anys;207060;194449;401509
De 10 a 14 anys;223267;208376;431643
De 15 a 19 anys;210527;193260;403787
De 20 a 24 anys;205008;191087;396095
De 25 a 29 anys;221110;216044;437154
De 30 a 34 anys;231001;235104;466105
De 35 a 39 anys;270896;274488;545384
De 40 a 44 anys;334557;325651;660208
De 45 a 49 anys;324031;313261;637292
De 50 a 54 anys;287566;284987;572553
De 55 a 59 anys;250527;260932;511459
De 60 a 64 anys;215143;233853;448996
De 65 a 69 anys;180096;203401;383497
De 70 a 74 anys;162768;192772;355540
De 75 a 79 anys;122915;154620;277535
De 80 a 84 anys;80110;116790;196900
De 85 a 89 anys;57131;101209;158340
De 90 a 94 anys;21473;49781;71254
De 95 anys i més;4859;16230;21089